abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"BOCMIDCO","=""05/31/2018 00:00""","238","cfs","","","=""05/31/2018 23:45""",
"BOCMIDCO","=""06/01/2018 00:00""","238","cfs","","","=""06/01/2018 23:45""",
"BOCMIDCO","=""06/02/2018 00:00""","220","cfs","","","=""06/02/2018 23:45""",
"BOCMIDCO","=""06/03/2018 00:00""","202","cfs","","","=""06/03/2018 23:45""",
"BOCMIDCO","=""06/04/2018 00:00""","204","cfs","","","=""06/04/2018 23:45""",
"BOCMIDCO","=""06/05/2018 00:00""","230","cfs","","","=""06/05/2018 23:45""",
"BOCMIDCO","=""06/06/2018 00:00""","227","cfs","","","=""06/06/2018 23:45""",
"BOCMIDCO","=""06/07/2018 00:00""","214","cfs","","","=""06/07/2018 23:45""",
"BOCMIDCO","=""06/08/2018 00:00""","203","cfs","","","=""06/08/2018 23:45""",
"BOCMIDCO","=""06/09/2018 00:00""","201","cfs","","","=""06/09/2018 23:45""",
"BOCMIDCO","=""06/10/2018 00:00""","210","cfs","","","=""06/10/2018 23:45""",
"BOCMIDCO","=""06/11/2018 00:00""","193","cfs","","","=""06/11/2018 23:45""",
"BOCMIDCO","=""06/12/2018 00:00""","180","cfs","","","=""06/12/2018 23:45""",
"BOCMIDCO","=""06/13/2018 00:00""","189","cfs","","","=""06/13/2018 23:45""",
"BOCMIDCO","=""06/14/2018 00:00""","197","cfs","","","=""06/14/2018 23:45""",
"BOCMIDCO","=""06/15/2018 00:00""","193","cfs","","","=""06/15/2018 23:45""",
"BOCMIDCO","=""06/16/2018 00:00""","191","cfs","","","=""06/16/2018 23:45""",
"BOCMIDCO","=""06/17/2018 00:00""","220","cfs","","","=""06/17/2018 23:45""",
"BOCMIDCO","=""06/18/2018 00:00""","305","cfs","","","=""06/18/2018 23:45""",
"BOCMIDCO","=""06/19/2018 00:00""","226","cfs","","","=""06/19/2018 23:45""",
"BOCMIDCO","=""06/20/2018 00:00""","188","cfs","","","=""06/20/2018 23:45""",
"BOCMIDCO","=""06/21/2018 00:00""","176","cfs","","","=""06/21/2018 23:45""",
"BOCMIDCO","=""06/22/2018 00:00""","166","cfs","","","=""06/22/2018 23:45""",
"BOCMIDCO","=""06/23/2018 00:00""","146","cfs","","","=""06/23/2018 23:45""",
"BOCMIDCO","=""06/24/2018 00:00""","139","cfs","","","=""06/24/2018 23:45""",
"BOCMIDCO","=""06/25/2018 00:00""","121","cfs","","","=""06/25/2018 23:45""",
"BOCMIDCO","=""06/26/2018 00:00""","117","cfs","","","=""06/26/2018 23:45""",
"BOCMIDCO","=""06/27/2018 00:00""","117","cfs","","","=""06/27/2018 23:45""",
